system_id,short_label,cation,layer_charge,counterion_count,RH,rh_tag,authoritative_summary_source,authoritative_archive_directory,final_restart_path,RH_start_step,final_absolute_step,elapsed_steps_within_current_RH,segment_count,equilibrium_result,provenance_from_previous_RH,usable_for_paper,summary_mtime,summary_sha256,restart_mtime,restart_sha256,source_monitor_file,monitor_row_status,duplicate_monitor_rows,partial_or_malformed_monitor_rows
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,16,0.9,rh0p90,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/summary.json,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.8100000,0,8100000,8100000,6,strict_passed,mineral/equilibration/pre-RH0.9 state,True,2026-07-01T23:42:09+08:00,fea595036f146199b4108948bca5849b6a9ee9130d47786c377067eecfcb4285,2026-06-27T22:21:37+08:00,f3d668e5bfcbb8f60e8984058ed94364836043200fee9aef4a4000903cabf2f4,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,exact_final_step,31,0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,16,0.3,rh0p30,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/summary.json,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.38100000,8100000,38100000,30000000,14,strict_passed,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.8100000,True,2026-07-02T23:00:25+08:00,47cad2f34dbdb9bf0ceda2874c114f429bcd84b1851a69c66e73ce6066a52772,2026-07-02T22:49:45+08:00,052f13ccb1af1762367040c8dc6da13abb57f8935c4b3af6963914b28f2067a8,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,exact_final_step,13,0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,16,0.1,rh0p10,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/summary.json,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.40100000,38100000,40100000,2000000,1,strict_passed,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.38100000,True,2026-07-03T00:24:25+08:00,f628f52a2f1fb1374facb07e8154339c78a4af347dbaa71fc400c5c64736e8fc,2026-07-02T23:56:14+08:00,10bb9996a775612aae4029f146f814cf37cc2af55e2bcceac5a6d829dea92efb,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,exact_final_step,0,0
Mt_K_LC040_N16,K-LC040,K,-0.4,16,0.9,rh0p90,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/summary.json,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.42100000,0,42100000,42100000,24,strict_passed,mineral/equilibration/pre-RH0.9 state,True,2026-07-01T23:42:09+08:00,976995bfbf1968c85a5c253aeaf8231f02ed8a465c2c18c836364657af47336e,2026-06-30T03:24:24+08:00,757f6865909627a8d48ef258ee700012a69ec8d88dfcdbbd60829e53b5a8124e,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,exact_final_step,49,0
Mt_K_LC040_N16,K-LC040,K,-0.4,16,0.3,rh0p30,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/summary.json,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.66100000,42100000,66100000,24000000,12,strict_passed,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.42100000,True,2026-07-07T00:33:11+08:00,c3a0fc72b5695a3a6443de4b073c860a13bce9f51819ef23eb8317878079d374,2026-07-07T00:19:43+08:00,8a81bc000a5276ef935a172e254b315cd8115c91e2f6d18464ee860b4ef14895,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,exact_final_step,21,0
Mt_K_LC040_N16,K-LC040,K,-0.4,16,0.1,rh0p10,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/summary.json,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.68100000,66100000,68100000,2000000,1,strict_passed,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.66100000,True,2026-07-07T01:57:11+08:00,4daf18ee7a44e77897391d7a01c1384dcbce944d252f7e2e0a100733c8cffaf2,2026-07-07T01:25:28+08:00,6a68abc17ad978ae256e9e46996328932395b5131dccdf7bebf9153e11de5e7c,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,exact_final_step,0,0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,8,0.9,rh0p90,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/summary.json,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.10200000,0,10200000,10200000,7,strict_passed,mineral/equilibration/pre-RH0.9 state,True,2026-07-01T23:42:09+08:00,93ae4cb11ae2d7a49fc5648eddd4b36b39875a307bef2d00e0a2f8970580fc05,2026-06-30T10:22:06+08:00,a8dcd7aecada5e4c612f1a5913b82556e41c3767a92622f9f9ee9c1f3900a8a7,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,exact_final_step,22,0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,8,0.3,rh0p30,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/summary.json,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.26200000,10200000,26200000,16000000,8,strict_passed,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.10200000,True,2026-07-04T09:52:31+08:00,b0581900c6dea8dd6a1034484c1f9bc214d643c84aae683d24a967c27dd75a03,2026-07-04T09:32:57+08:00,e429d86fdbb64db1765191c74fcabeb880a704cc6a2b1469aa7147fdf58c7d8c,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,exact_final_step,17,0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,8,0.1,rh0p10,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/summary.json,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.34200000,26200000,34200000,8000000,4,strict_passed,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.26200000,True,2026-07-04T14:57:40+08:00,a3817bc33253870346183ad3fb546cb98bee2d2442ebbbe798dc86b07a1d0f6b,2026-07-04T14:44:19+08:00,5603f2f3b6b1946dd99cb687c648172cb15bf09e83774c83f7039d9d1470a79d,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,exact_final_step,13,0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,12,0.9,rh0p90,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/summary.json,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.9100000,0,9100000,9100000,7,strict_passed,mineral/equilibration/pre-RH0.9 state,True,2026-07-01T23:42:09+08:00,2444fda5273a28317c7771ca6f93272bcd9f19dd09dc144ff466e18faba6ee43,2026-06-30T14:47:03+08:00,72ede4fba7208b78dd7505788dde401faaab5ae34d74ee34752f6084ea194963,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,exact_final_step,32,0
