system_id,short_label,cation,layer_charge,RH,basal_spacing_proxy
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.9,19.4091
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.3,12.1171
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.1,12.0497
Mt_K_LC040_N16,K-LC040,K,-0.4,0.9,18.3833
Mt_K_LC040_N16,K-LC040,K,-0.4,0.3,12.127
Mt_K_LC040_N16,K-LC040,K,-0.4,0.1,12.1009
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.9,18.5393
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.3,14.2682
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.1,14.3985
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.9,20.333
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.3,11.9184
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.1,12.0774
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.9,19.3498
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.3,15.0139
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.1,12.022
