system_id,short_label,cation,layer_charge,RH,RH_local_elapsed_steps,segment_count,final_absolute_step,RH_start_step
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.9,8100000,6,8100000,0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.3,30000000,14,38100000,8100000
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.1,2000000,1,40100000,38100000
Mt_K_LC040_N16,K-LC040,K,-0.4,0.9,42100000,24,42100000,0
Mt_K_LC040_N16,K-LC040,K,-0.4,0.3,24000000,12,66100000,42100000
Mt_K_LC040_N16,K-LC040,K,-0.4,0.1,2000000,1,68100000,66100000
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.9,10200000,7,10200000,0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.3,16000000,8,26200000,10200000
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.1,8000000,4,34200000,26200000
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.9,9100000,7,9100000,0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.3,18000000,9,27100000,9100000
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.1,6000000,3,33100000,27100000
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.9,12100000,8,12100000,0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.3,20000000,10,32100000,12100000
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.1,12000000,6,44100000,32100000
