system_id,short_label,cation,layer_charge,RH,bottom_external_water,top_external_water,bottom_top_difference,bottom_top_normalized_imbalance
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.9,121.0,114.0,7.0,0.029787234042553193
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.3,27.0,27.0,0.0,0.0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.1,21.0,20.0,1.0,0.024390243902439025
Mt_K_LC040_N16,K-LC040,K,-0.4,0.9,109.0,100.0,9.0,0.0430622009569378
Mt_K_LC040_N16,K-LC040,K,-0.4,0.3,19.0,26.0,-7.0,-0.15555555555555556
Mt_K_LC040_N16,K-LC040,K,-0.4,0.1,19.0,17.0,2.0,0.05555555555555555
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.9,121.0,122.0,-1.0,-0.00411522633744856
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.3,47.0,45.0,2.0,0.021739130434782608
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.1,36.0,37.0,-1.0,-0.0136986301369863
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.9,105.0,99.0,6.0,0.029411764705882353
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.3,20.0,19.0,1.0,0.02564102564102564
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.1,15.0,16.0,-1.0,-0.03225806451612903
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.9,132.0,121.0,11.0,0.043478260869565216
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.3,50.0,46.0,4.0,0.041666666666666664
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.1,29.0,24.0,5.0,0.09433962264150944
