system_id,display_label,cation,nominal_layer_charge,rh,desorption_order,strict_pass,total_water_mean,total_water_error,interlayer_water_mean,interlayer_water_error,external_water_mean,external_water_error,basal_spacing_mean,basal_spacing_error,error_definition,final_window_steps,sample_interval_steps,n_final_window_samples,mean_definition,water_units,basal_spacing_units,source_archive,source_analysis_file,source_summary_file
Mt_Ca_LC040_N8,Ca--LC0.40,Ca,-0.4,0.10,3,True,131.5664336,3.097391187,62.47252747,1.31510247,69.09390609,2.546992899,14.39098342,0.08948040157,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/summary.json
Mt_Ca_LC040_N8,Ca--LC0.40,Ca,-0.4,0.30,2,True,179.1048951,2.689978813,86.27772228,1.5299651,92.82717283,2.459492,14.42233526,0.09257254693,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/summary.json
Mt_Ca_LC040_N8,Ca--LC0.40,Ca,-0.4,0.90,1,True,513.8041958,2.453899423,265.3016983,0.4988858716,248.5024975,2.460943672,18.5938985,0.1546975565,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/summary.json
Mt_K_LC040_N16,K--LC0.40,K,-0.4,0.10,3,True,67.31868132,2.024188889,31.11388611,1.055943646,36.2047952,1.979145518,12.07904156,0.06591502007,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/summary.json
Mt_K_LC040_N16,K--LC0.40,K,-0.4,0.30,2,True,83.08891109,2.968010599,39.0999001,1.668535283,43.98901099,2.5303911,12.1605003,0.07825623688,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/summary.json
Mt_K_LC040_N16,K--LC0.40,K,-0.4,0.90,1,True,462.1408591,2.171897525,247.8311688,0.805274818,214.3096903,1.914679086,18.38678302,0.1566592893,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/summary.json
Mt_Na_LC030_N12,Na--LC0.30,Na,-0.3,0.10,3,True,65.96703297,1.903657555,33.38961039,1.506669157,32.57742258,1.707703063,11.9923006,0.07731814379,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03/summary.json
Mt_Na_LC030_N12,Na--LC0.30,Na,-0.3,0.30,2,True,82.55944056,2.558654585,40.8031968,1.886327058,41.75624376,1.950518771,12.0559034,0.08618636394,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09/summary.json
Mt_Na_LC030_N12,Na--LC0.30,Na,-0.3,0.90,1,True,498.6013986,2.856914077,300.7202797,0.8424240747,197.8811189,2.168145094,20.19864885,0.2041513215,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/summary.json
Mt_Na_LC040_N16,Na--LC0.40,Na,-0.4,0.10,3,True,82.61438561,2.734803987,41.63836164,0.93332037,40.97602398,2.118826226,11.99302527,0.05347321451,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/summary.json
Mt_Na_LC040_N16,Na--LC0.40,Na,-0.4,0.30,2,True,99.92307692,1.993759495,50.47352647,1.153060472,49.44955045,1.987385795,12.06286064,0.06465339642,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/summary.json
Mt_Na_LC040_N16,Na--LC0.40,Na,-0.4,0.90,1,True,522.9350649,2.667729226,285.1398601,0.9871269323,237.7952048,2.421366759,19.36096863,0.1792202651,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/summary.json
Mt_Na_LC050_N20,Na--LC0.50,Na,-0.5,0.10,3,True,105.4975025,2.632915448,50.90809191,0.7691192726,54.58941059,2.419968544,11.97803766,0.04881622794,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Na_LC050_N20/states/rh_0p10_from_strict_rh03,examples/Mt_Na_LC050_N20/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,examples/Mt_Na_LC050_N20/states/rh_0p10_from_strict_rh03/summary.json
Mt_Na_LC050_N20,Na--LC0.50,Na,-0.5,0.30,2,True,237.9230769,2.422204971,143.7372627,0.9817841412,94.18581419,2.32065477,15.06269191,0.1665870433,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Na_LC050_N20/states/rh_0p30_from_strict_rh09,examples/Mt_Na_LC050_N20/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,examples/Mt_Na_LC050_N20/states/rh_0p30_from_strict_rh09/summary.json
Mt_Na_LC050_N20,Na--LC0.50,Na,-0.5,0.90,1,True,544.6633367,2.513870413,288.8051948,0.4393324334,255.8581419,2.27988073,19.25262797,0.1487683352,raw_sample_standard_deviation_final_1M_steps,1000000,1000,1001,arithmetic_mean_over_final_1M_steps,molecules,angstrom,examples/Mt_Na_LC050_N20/states/rh_0p90_strict_pass,examples/Mt_Na_LC050_N20/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,examples/Mt_Na_LC050_N20/states/rh_0p90_strict_pass/summary.json
