system,cation,layer_charge,RH,total_water,analysis_source
Na-LC0.30,Na,0.30,0.90,498.6013986,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
Na-LC0.30,Na,0.30,0.30,82.55944056,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
Na-LC0.30,Na,0.30,0.10,65.96703297,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
Na-LC0.40,Na,0.40,0.90,522.9350649,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
Na-LC0.40,Na,0.40,0.30,99.92307692,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
Na-LC0.40,Na,0.40,0.10,82.61438561,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
Na-LC0.50,Na,0.50,0.90,544.6633367,examples/Mt_Na_LC050_N20/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
Na-LC0.50,Na,0.50,0.30,237.9230769,examples/Mt_Na_LC050_N20/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
Na-LC0.50,Na,0.50,0.10,105.4975025,examples/Mt_Na_LC050_N20/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
K-LC0.40,K,0.40,0.90,462.1408591,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
K-LC0.40,K,0.40,0.30,83.08891109,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
K-LC0.40,K,0.40,0.10,67.31868132,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
Ca-LC0.40,Ca,0.40,0.90,513.8041958,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
Ca-LC0.40,Ca,0.40,0.30,179.1048951,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
Ca-LC0.40,Ca,0.40,0.10,131.5664336,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
