system,RH,total_water,interlayer_water,external_water,interlayer_fraction,external_fraction
Na-LC0.30,0.90,498.6013986,300.7202797,197.8811189,0.6031276297,0.3968723703
Na-LC0.30,0.30,82.55944056,40.8031968,41.75624376,0.4942281164,0.5057718836
Na-LC0.30,0.10,65.96703297,33.38961039,32.57742258,0.5061560129,0.4938439871
Na-LC0.40,0.90,522.9350649,285.1398601,237.7952048,0.5452681972,0.4547318028
Na-LC0.40,0.30,99.92307692,50.47352647,49.44955045,0.5051238215,0.4948761785
Na-LC0.40,0.10,82.61438561,41.63836164,40.97602398,0.5040086098,0.4959913903
Na-LC0.50,0.90,544.6633367,288.8051948,255.8581419,0.5302453375,0.4697546625
Na-LC0.50,0.30,237.9230769,143.7372627,94.18581419,0.6041333383,0.3958666617
Na-LC0.50,0.10,105.4975025,50.90809191,54.58941059,0.4825525790,0.5174474210
K-LC0.40,0.90,462.1408591,247.8311688,214.3096903,0.5362675988,0.4637324012
K-LC0.40,0.30,83.08891109,39.0999001,43.98901099,0.4705790410,0.5294209590
K-LC0.40,0.10,67.31868132,31.11388611,36.2047952,0.4621879915,0.5378120083
Ca-LC0.40,0.90,513.8041958,265.3016983,248.5024975,0.5163478626,0.4836521374
Ca-LC0.40,0.30,179.1048951,86.27772228,92.82717283,0.4817161599,0.5182838402
Ca-LC0.40,0.10,131.5664336,62.47252747,69.09390609,0.4748363679,0.5251636318
