system,RH,basal_spacing,analysis_source
Na-LC0.30,0.90,20.19864885,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
Na-LC0.30,0.30,12.0559034,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
Na-LC0.30,0.10,11.9923006,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
Na-LC0.40,0.90,19.36096863,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
Na-LC0.40,0.30,12.06286064,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
Na-LC0.40,0.10,11.99302527,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
Na-LC0.50,0.90,19.25262797,examples/Mt_Na_LC050_N20/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
Na-LC0.50,0.30,15.06269191,examples/Mt_Na_LC050_N20/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
Na-LC0.50,0.10,11.97803766,examples/Mt_Na_LC050_N20/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
K-LC0.40,0.90,18.38678302,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
K-LC0.40,0.30,12.1605003,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
K-LC0.40,0.10,12.07904156,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
Ca-LC0.40,0.90,18.5938985,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat
Ca-LC0.40,0.30,14.42233526,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat
Ca-LC0.40,0.10,14.39098342,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat
