system_id,short_label,cation,layer_charge,counterion_count,RH,rh_tag,total_water,interlayer_water,external_water,bottom_external_water,top_external_water,basal_spacing_proxy,interlayer_fraction,external_fraction,bottom_top_difference,bottom_top_abs_difference,bottom_top_normalized_imbalance,final1m_delta_total_fit,final1m_delta_interlayer_fit,final1m_delta_external_fit,final1m_delta_basal_fit,ion_count_stable,fatal_errors,passed_strict,RH_start_step,final_absolute_step,RH_local_elapsed_steps,segment_count,authoritative_summary_source,authoritative_archive_directory,source_monitor_file,source_restart_file,monitor_row_status
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,16,0.9,rh0p90,517.0,282.0,235.0,121.0,114.0,19.4091,0.5454545454545454,0.45454545454545453,7.0,7.0,0.029787234042553193,1.472587292946342,-1.845292432118794,3.3178797250653345,-0.012207987222363678,True,,True,0,8100000,8100000,6,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/summary.json,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.8100000,exact_final_step
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,16,0.3,rh0p30,102.0,48.0,54.0,27.0,27.0,12.1171,0.47058823529411764,0.5294117647058824,0.0,0.0,0.0,0.9017928179605033,0.544688844090053,0.35710397387044845,0.01604739452164679,True,,True,8100000,38100000,30000000,14,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/summary.json,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.38100000,exact_final_step
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,16,0.1,rh0p10,82.0,41.0,41.0,21.0,20.0,12.0497,0.5,0.5,1.0,1.0,0.024390243902439025,2.444884456860509,0.8902235489061897,1.5546609079543197,0.023761723306636066,True,,True,38100000,40100000,2000000,1,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/summary.json,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.40100000,exact_final_step
Mt_K_LC040_N16,K-LC040,K,-0.4,16,0.9,rh0p90,456.0,247.0,209.0,109.0,100.0,18.3833,0.5416666666666666,0.4583333333333333,9.0,9.0,0.0430622009569378,-3.849192723444099,-1.4713789204806853,-2.3778138029633946,-0.06899455873467615,True,,True,0,42100000,42100000,24,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/summary.json,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.42100000,exact_final_step
Mt_K_LC040_N16,K-LC040,K,-0.4,16,0.3,rh0p30,84.0,39.0,45.0,19.0,26.0,12.127,0.4642857142857143,0.5357142857142857,-7.0,7.0,-0.15555555555555556,3.940335113987814,4.402232498040863,-0.4618973840530527,0.0824763200870996,True,,True,42100000,66100000,24000000,12,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/summary.json,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.66100000,exact_final_step
Mt_K_LC040_N16,K-LC040,K,-0.4,16,0.1,rh0p10,68.0,32.0,36.0,19.0,17.0,12.1009,0.47058823529411764,0.5294117647058824,2.0,2.0,0.05555555555555555,2.458930291265601,2.231349488834518,0.22758080243109582,-0.013878845705194787,True,,True,66100000,68100000,2000000,1,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/summary.json,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.68100000,exact_final_step
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,8,0.9,rh0p90,510.0,267.0,243.0,121.0,122.0,18.5393,0.5235294117647059,0.4764705882352941,-1.0,1.0,-0.00411522633744856,0.34854965393893833,0.07578050691831886,0.272769147020701,-0.0005095479370911172,True,,True,0,10200000,10200000,7,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/summary.json,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.10200000,exact_final_step
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,8,0.3,rh0p30,174.0,82.0,92.0,47.0,45.0,14.2682,0.47126436781609193,0.5287356321839081,2.0,2.0,0.021739130434782608,0.2588549175375447,-3.4611615928981023,3.7200165104356895,-0.029724049603092682,True,,True,10200000,26200000,16000000,8,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/summary.json,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.26200000,exact_final_step
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,8,0.1,rh0p10,138.0,65.0,73.0,36.0,37.0,14.3985,0.47101449275362317,0.5289855072463768,-1.0,1.0,-0.0136986301369863,0.5491873396065243,-0.11922209527000009,0.6684094348765007,0.009739180579899203,True,,True,26200000,34200000,8000000,4,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/summary.json,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.34200000,exact_final_step
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,12,0.9,rh0p90,506.0,302.0,204.0,105.0,99.0,20.333,0.5968379446640316,0.4031620553359684,6.0,6.0,0.029411764705882353,-2.2150304785035297,-0.4004019932163961,-1.8146284852871302,-0.09849660160199364,True,,True,0,9100000,9100000,7,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/summary.json,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/monitor_gcmc_rh0p90.dat,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/restart.gcmc_rh0p90.9100000,exact_final_step
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,12,0.3,rh0p30,79.0,40.0,39.0,20.0,19.0,11.9184,0.5063291139240507,0.4936708860759494,1.0,1.0,0.02564102564102564,-3.741587753563817,-4.418049016851407,0.6764612632875541,-0.0843429612303841,True,,True,9100000,27100000,18000000,9,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09/summary.json,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09/monitor_gcmc_rh0p30.dat,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.27100000,exact_final_step
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,12,0.1,rh0p10,63.0,32.0,31.0,15.0,16.0,12.0774,0.5079365079365079,0.49206349206349204,-1.0,1.0,-0.03225806451612903,-2.851196707484207,0.8202336585570109,-3.671430366041213,0.009120059581140637,True,,True,27100000,33100000,6000000,3,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03/summary.json,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03/monitor_gcmc_rh0p10.dat,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.33100000,exact_final_step
