system_id,short_label,cation,layer_charge,counterion_count,RH,total_water
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,16,0.9,517.0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,16,0.3,102.0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,16,0.1,82.0
Mt_K_LC040_N16,K-LC040,K,-0.4,16,0.9,456.0
Mt_K_LC040_N16,K-LC040,K,-0.4,16,0.3,84.0
Mt_K_LC040_N16,K-LC040,K,-0.4,16,0.1,68.0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,8,0.9,510.0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,8,0.3,174.0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,8,0.1,138.0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,12,0.9,506.0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,12,0.3,79.0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,12,0.1,63.0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,20,0.9,541.0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,20,0.3,238.0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,20,0.1,102.0
