system_id,short_label,cation,layer_charge,RH,interlayer_fraction,external_fraction
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.9,0.5454545454545454,0.45454545454545453
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.3,0.47058823529411764,0.5294117647058824
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.1,0.5,0.5
Mt_K_LC040_N16,K-LC040,K,-0.4,0.9,0.5416666666666666,0.4583333333333333
Mt_K_LC040_N16,K-LC040,K,-0.4,0.3,0.4642857142857143,0.5357142857142857
Mt_K_LC040_N16,K-LC040,K,-0.4,0.1,0.47058823529411764,0.5294117647058824
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.9,0.5235294117647059,0.4764705882352941
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.3,0.47126436781609193,0.5287356321839081
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.1,0.47101449275362317,0.5289855072463768
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.9,0.5968379446640316,0.4031620553359684
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.3,0.5063291139240507,0.4936708860759494
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.1,0.5079365079365079,0.49206349206349204
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.9,0.532347504621072,0.4676524953789279
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.3,0.5966386554621849,0.40336134453781514
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.1,0.4803921568627451,0.5196078431372549
