system_id,short_label,cation,layer_charge,RH,component,water_count
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.9,interlayer,282.0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.9,external,235.0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.3,interlayer,48.0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.3,external,54.0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.1,interlayer,41.0
Mt_Na_LC040_N16,Na-LC040,Na,-0.4,0.1,external,41.0
Mt_K_LC040_N16,K-LC040,K,-0.4,0.9,interlayer,247.0
Mt_K_LC040_N16,K-LC040,K,-0.4,0.9,external,209.0
Mt_K_LC040_N16,K-LC040,K,-0.4,0.3,interlayer,39.0
Mt_K_LC040_N16,K-LC040,K,-0.4,0.3,external,45.0
Mt_K_LC040_N16,K-LC040,K,-0.4,0.1,interlayer,32.0
Mt_K_LC040_N16,K-LC040,K,-0.4,0.1,external,36.0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.9,interlayer,267.0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.9,external,243.0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.3,interlayer,82.0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.3,external,92.0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.1,interlayer,65.0
Mt_Ca_LC040_N8,Ca-LC040,Ca,-0.4,0.1,external,73.0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.9,interlayer,302.0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.9,external,204.0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.3,interlayer,40.0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.3,external,39.0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.1,interlayer,32.0
Mt_Na_LC030_N12,Na-LC030,Na,-0.3,0.1,external,31.0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.9,interlayer,288.0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.9,external,253.0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.3,interlayer,142.0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.3,external,96.0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.1,interlayer,49.0
Mt_Na_LC050_N20,Na-LC050,Na,-0.5,0.1,external,53.0
