system,rh_dir,rh,final_step,final_total_water,final_interlayer_water,final_external_water,final_basal_spacing,final1m_total_water_fitted_change,final1m_interlayer_water_fitted_change,final1m_external_water_fitted_change,final1m_basal_fitted_change,passed_final1m_strict,duplicate_monitor_rows,partial_or_malformed_monitor_rows,monitor_history_continuous
Mt_Na_LC040_N16,examples/Mt_Na_LC040_N16/rh_0p10,0.10,16100000,145.0,102.0,43.0,13.1477,-8.599221138143287,-7.187722457183549,-1.411498680959758,-0.23037585049680911,False,19,0,True
Mt_Na_LC040_N16,examples/Mt_Na_LC040_N16/rh_0p30,0.30,6100000,445.0,269.0,176.0,19.0406,-13.148707579845446,-14.758869872642387,1.6101622927969954,-0.48794110560099396,False,11,0,True
Mt_Na_LC040_N16,examples/Mt_Na_LC040_N16/rh_0p90,0.90,8100000,517.0,282.0,235.0,19.4091,1.472587292946342,-1.845292432118794,3.3178797250653345,-0.012207987222363678,True,31,0,True
Mt_K_LC040_N16,examples/Mt_K_LC040_N16/rh_0p10,0.10,14100000,201.0,162.0,39.0,15.6493,-14.93495725831053,-9.672243923740957,-5.262713334569623,-0.14106382479795518,False,14,0,True
Mt_K_LC040_N16,examples/Mt_K_LC040_N16/rh_0p30,0.30,9100000,376.0,233.0,143.0,18.1958,-18.314452015050836,-8.850478862454878,-9.46397315259588,-0.23639759043351907,False,12,0,True
Mt_K_LC040_N16,examples/Mt_K_LC040_N16/rh_0p90,0.90,42100000,456.0,247.0,209.0,18.3833,-3.849192723444099,-1.4713789204806853,-2.3778138029633946,-0.06899455873467615,True,49,0,True
Mt_Ca_LC040_N8,examples/Mt_Ca_LC040_N8/rh_0p10,0.10,14200000,137.0,66.0,71.0,14.4299,-4.8221120197168235,-2.184210998582262,-2.6379010211345397,-0.015238678686582333,True,16,0,True
Mt_Ca_LC040_N8,examples/Mt_Ca_LC040_N8/rh_0p30,0.30,7200000,405.0,231.0,174.0,18.1164,-20.725490078783555,-7.4559452523524845,-13.269544826431126,-0.1422755555821482,False,12,0,True
Mt_Ca_LC040_N8,examples/Mt_Ca_LC040_N8/rh_0p90,0.90,10200000,510.0,267.0,243.0,18.5393,0.34854965393893833,0.07578050691831886,0.272769147020701,-0.0005095479370911172,True,22,0,True
Mt_Ca_LC040_N8,examples/Mt_Ca_LC040_N8/rh_0p90_validation,0.90_validation,215000,343.0,306.0,37.0,19.9241,342.7023878858459,-6.751334361934105e-13,342.70238788584743,1.7520745486312899,False,0,0,True
Mt_Na_LC030_N12,examples/Mt_Na_LC030_N12/rh_0p10,0.10,19100000,66.0,35.0,31.0,12.0221,0.7082019776630667,1.6200206978650098,-0.9118187202019418,0.044857663294793064,True,20,0,True
Mt_Na_LC030_N12,examples/Mt_Na_LC030_N12/rh_0p30,0.30,8100000,420.0,267.0,153.0,19.23,-7.666261881830819,-10.030759659502248,2.3644977776714646,-0.28737572487393226,False,12,0,True
Mt_Na_LC030_N12,examples/Mt_Na_LC030_N12/rh_0p90,0.90,9100000,506.0,302.0,204.0,20.333,-2.2150304785035297,-0.4004019932163961,-1.8146284852871302,-0.09849660160199364,True,32,0,True
Mt_Na_LC050_N20,examples/Mt_Na_LC050_N20/rh_0p10,0.10,13100000,252.0,194.0,58.0,16.0686,-19.09303869782917,-9.119311825898611,-9.973726871930467,-0.29252191281772144,False,16,0,True
Mt_Na_LC050_N20,examples/Mt_Na_LC050_N20/rh_0p30,0.30,6100000,442.0,276.0,166.0,19.0005,-9.636399528615033,-8.497251251742242,-1.1391482768728551,-0.32416477773724095,False,11,0,True
Mt_Na_LC050_N20,examples/Mt_Na_LC050_N20/rh_0p70,0.70,6100000,496.0,288.0,208.0,19.222,15.587035718772135,-6.378758965585329,21.965794684357547,-0.2772686164135277,False,11,0,True
Mt_Na_LC050_N20,examples/Mt_Na_LC050_N20/rh_0p90,0.90,12100000,541.0,288.0,253.0,19.3498,-4.351385141804416,-0.7433644200111674,-3.6080207217931908,-0.003028887280380039,True,33,0,True
