system_id,display_label,rh,desorption_order,production_segments,rh_local_steps,final_absolute_step,final_analysis_window_steps,strict_pass,source_file
Mt_Na_LC030_N12,Na--LC0.30,0.90,1,7,9100000,9100000,1000000,True,examples/Mt_Na_LC030_N12/states/rh_0p90_strict_pass/summary.json
Mt_Na_LC030_N12,Na--LC0.30,0.30,2,9,18000000,27100000,1000000,True,examples/Mt_Na_LC030_N12/states/rh_0p30_from_strict_rh09/summary.json
Mt_Na_LC030_N12,Na--LC0.30,0.10,3,3,6000000,33100000,1000000,True,examples/Mt_Na_LC030_N12/states/rh_0p10_from_strict_rh03/summary.json
Mt_Na_LC040_N16,Na--LC0.40,0.90,1,6,8100000,8100000,1000000,True,examples/Mt_Na_LC040_N16/states/rh_0p90_strict_pass/summary.json
Mt_Na_LC040_N16,Na--LC0.40,0.30,2,14,30000000,38100000,1000000,True,examples/Mt_Na_LC040_N16/states/rh_0p30_from_strict_rh09/summary.json
Mt_Na_LC040_N16,Na--LC0.40,0.10,3,1,2000000,40100000,1000000,True,examples/Mt_Na_LC040_N16/states/rh_0p10_from_strict_rh03/summary.json
Mt_Na_LC050_N20,Na--LC0.50,0.90,1,8,12100000,12100000,1000000,True,examples/Mt_Na_LC050_N20/states/rh_0p90_strict_pass/summary.json
Mt_Na_LC050_N20,Na--LC0.50,0.30,2,10,20000000,32100000,1000000,True,examples/Mt_Na_LC050_N20/states/rh_0p30_from_strict_rh09/summary.json
Mt_Na_LC050_N20,Na--LC0.50,0.10,3,6,12000000,44100000,1000000,True,examples/Mt_Na_LC050_N20/states/rh_0p10_from_strict_rh03/summary.json
Mt_K_LC040_N16,K--LC0.40,0.90,1,24,42100000,42100000,1000000,True,examples/Mt_K_LC040_N16/states/rh_0p90_strict_pass/summary.json
Mt_K_LC040_N16,K--LC0.40,0.30,2,12,24000000,66100000,1000000,True,examples/Mt_K_LC040_N16/states/rh_0p30_from_strict_rh09/summary.json
Mt_K_LC040_N16,K--LC0.40,0.10,3,1,2000000,68100000,1000000,True,examples/Mt_K_LC040_N16/states/rh_0p10_from_strict_rh03/summary.json
Mt_Ca_LC040_N8,Ca--LC0.40,0.90,1,7,10200000,10200000,1000000,True,examples/Mt_Ca_LC040_N8/states/rh_0p90_strict_pass/summary.json
Mt_Ca_LC040_N8,Ca--LC0.40,0.30,2,8,16000000,26200000,1000000,True,examples/Mt_Ca_LC040_N8/states/rh_0p30_from_strict_rh09/summary.json
Mt_Ca_LC040_N8,Ca--LC0.40,0.10,3,4,8000000,34200000,1000000,True,examples/Mt_Ca_LC040_N8/states/rh_0p10_from_strict_rh03/summary.json
