source_path,release_path,transformation_type,scientific_content_changed,source_sha256,release_sha256,notice
tests/test_campaign_status.py,tests/test_campaign_status.py,replaced 4 temporary/mount path occurrence(s),false,9c81026df3d861573c72dcfea0744962a9da70f50d78adde3e9a89e9f411ba67,6957ba7c46f40bde8adbea21a476d09b007303e83de2e34f7d578b3ff4eceb8d,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
tests/test_start_next_rh.py,tests/test_start_next_rh.py,replaced 1 temporary/mount path occurrence(s),false,088091b01890a16e55f683a0405840fce2158b8d9893167dbd66c10b82dddd8f,0a06204ca3d4df02e785ae5bb470328b36dd13d828269eda5a291ed2b4b7911f,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
examples/campaigns/paper_rh_water_uptake_campaign.plan.json,data/operational_summary/paper_rh_water_uptake_campaign.plan.public.json,renamed as privacy-safe public derivative,false,18f0cd54cb81dd715152a0d20dc39fed534ed38a90f7e7723ed62bd376077058,18f0cd54cb81dd715152a0d20dc39fed534ed38a90f7e7723ed62bd376077058,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
examples/campaigns/paper_rh_water_uptake_campaign.plan.md,data/operational_summary/paper_rh_water_uptake_campaign.plan.public.md,renamed as privacy-safe public derivative,false,dbcb3140de8424a29325cd7cc1dc91cad377e3f6ac0838c4ee95242be47a9bf0,dbcb3140de8424a29325cd7cc1dc91cad377e3f6ac0838c4ee95242be47a9bf0,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
examples/campaigns/paper_rh_water_uptake_campaign.state.json,data/operational_summary/paper_rh_water_uptake_campaign.state.public.json,replaced 2654 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT}; renamed as privacy-safe public derivative,false,f07da8efcdcff4b9a8c0cad0d86b6f31eb2c577ca400e136cbe708fa3cacbc04,bc72a8f9792af0fc8e374f46a405f035cba04d0da48ac58534bf637e409046d5,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/final_campaign/authoritative_manifest.csv,data/authoritative_results/authoritative_manifest.public.csv,renamed as privacy-safe public derivative,false,232c502af201f2ec650b4de5e2863b1078394d56c538793dc0eb940c01d8fff0,ef31c3488816788506936f0001e7df09f960504e5423aab9aa370f46e70292ec,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/final_campaign/authoritative_manifest.json,data/authoritative_results/authoritative_manifest.public.json,renamed as privacy-safe public derivative,false,88f5b51ef33b7a279d91cf50b9ee55ee651cc18fd01430185fe195350683bbc5,88f5b51ef33b7a279d91cf50b9ee55ee651cc18fd01430185fe195350683bbc5,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/docs/confidentiality_sanitization.md,data/historical_replay/v1.0/docs/confidentiality_sanitization.md,replaced 1 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT},false,96871f0a45a4fbe3216e5b019d9916b97db218ef5c01779a05d50a4cc0911a2c,7bbf516bd9064068d901a390c5df89f8f74f45727f857972fec878537737b174,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/final_benchmark_results.csv,data/historical_replay/v1.0/final_benchmark_results.csv,replaced 4 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT},false,ff1527e297e9c4f44c4d6ddf7687ae739107deb8d03459246be7b0d8fb78f04a,7e59dc5f21bbaa4874ecdec2c9dd8f61c2d7b6a1702be8746ba15c074444f9ee,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/final_benchmark_results.json,data/historical_replay/v1.0/final_benchmark_results.json,replaced 4 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT},false,fc4030ee598323b5a7f771a61081936a65920313158cf1f1691c16ff8dc14e17,46cd3bce490c61bae9d512cfbb2b5398157aa8d9cdc4b34cc56297531e00a5a9,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
